,Trust_Score,Kms_Driven,Year,RegState_Codes,Brand_Codes,Fuel_Codes,Trans_Codes,Model_Name,Price
1936,7.1,36525,2014,0,28,0,2,Polo,12.995007164763315
1937,7.1,41201,2017,0,8,2,2,Creta,13.664715574817043
1938,6.5,69858,2008,0,16,2,2,Zen,11.76443876236425
1939,7.1,47844,2017,0,10,0,2,Compass,14.16738218442168
1940,7.0,23485,2018,0,13,0,2,XUV500,14.219586034314652
1941,7.2,48595,2017,0,13,0,2,Xylo,13.636235555706692
1942,6.9,44896,2017,0,27,0,2,Innova,14.389026996910047
1943,7.2,27845,2017,0,27,0,2,Innova,14.150779928575005
1944,7.0,27485,2017,0,27,0,2,Innova,14.419509534690832
1945,7.0,14722,2017,0,27,0,2,Innova,14.326236176729932
1946,7.1,47845,2017,0,27,0,2,Innova,14.386768032026287
1947,6.5,32214,2016,0,8,2,2,i10,12.836213463930624
1948,6.7,37789,2013,0,16,2,2,Alto,12.273698583188622
1949,6.7,28957,2014,0,16,2,2,Alto,12.18196948417928
1950,7.1,46652,2015,0,21,0,2,Micra,12.981131555285035
1951,7.1,41250,2015,0,28,0,2,Jetta,13.818694483888397
1952,6.9,37885,2011,0,16,2,2,Swift,12.515276454997194
1953,6.7,45563,2011,0,7,2,2,City,12.856946257712774
1954,7.1,59869,2013,0,27,2,2,Etios,12.764602129365175
1955,7.1,58748,2013,0,27,2,2,Corolla,13.415407548077697
1956,6.9,18954,2018,0,13,0,2,XUV500,14.009894899277844
1957,7.1,99748,2003,0,16,2,2,Zen,10.529826972514458
1958,6.7,87455,2011,0,16,2,2,Swift,12.753025741770983
1959,6.8,54784,2015,0,16,2,2,Alto,12.48577042820285
1960,7.9,37484,2017,0,16,2,2,Omni,12.307120876639653
1961,6.8,29658,2017,0,28,2,2,Polo,13.270146973160564
1962,6.7,39652,2014,0,16,0,2,Swift,13.05546046329135
1963,7.0,78452,2012,0,7,2,2,City,12.873283878378878
1964,7.0,74582,2013,0,27,0,2,Innova,13.598181320718323
1965,7.0,21142,2012,0,27,0,2,Fortuner,14.67638836351313
1966,6.9,34066,2018,0,27,0,2,Innova,14.446266776396817
1967,6.5,51245,2017,0,23,0,2,Captur,13.90894078995536
1968,6.9,52444,2017,0,27,0,2,Innova,14.489820934670387
1969,6.7,42563,2013,0,13,0,2,Quanto,12.579410489052933
1970,6.7,67855,2014,0,16,2,2,Wagon,12.533262649499477
1971,6.9,21453,2017,0,8,2,2,Creta,13.890625451573822
1972,6.4,23652,2018,0,27,0,2,Innova,14.559062313117296
1973,7.1,19855,2017,0,16,0,2,Vitara,13.795451717848392
